job;marital;education;default;housing;loan;contact;month;poutcome;Fac-age;Fac-balance;Fac-duration;Fac-campaign;Fac-pday;Fac-pervious;y
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;yes
admin.;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
retired;divorced;primary;no;no;no;telephone;oct;unknown;old;normal;normal;new;new;new;yes
blue-collar;married;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;new;new;new;yes
management;married;secondary;no;yes;no;cellular;may;failure;mid;rich;overtime;new;old;old;yes
services;single;tertiary;no;yes;no;unknown;may;unknown;young;normal;short;try-harder;new;new;no
management;single;tertiary;no;yes;no;unknown;nov;failure;mid;rich;overtime;repeat;old;old;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;new;new;new;no
technician;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;nov;unknown;mid;rich;short;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;primary;no;no;no;telephone;feb;other;mid;normal;short;repeat;old;old;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;young;normal;overtime;new;new;new;no
entrepreneur;single;primary;yes;yes;yes;cellular;feb;unknown;mid;bust;long;new;new;new;no
admin.;married;unknown;no;yes;no;cellular;jan;success;old;rich;long;new;old;old;yes
blue-collar;divorced;primary;no;no;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;yes
technician;single;secondary;no;yes;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
technician;married;tertiary;no;yes;no;cellular;jun;other;mid;normal;overtime;new;old;old;yes
blue-collar;married;secondary;no;yes;no;cellular;jul;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;telephone;jul;unknown;mid;rich;long;repeat;new;new;no
management;married;secondary;no;no;yes;telephone;feb;unknown;mid;normal;long;new;new;new;no
self-employed;single;tertiary;no;no;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
retired;single;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;divorced;secondary;no;yes;yes;unknown;may;unknown;mid;normal;overtime;new;new;new;no
blue-collar;married;primary;no;no;yes;telephone;jul;unknown;mid;bust;overtime;repeat;new;new;no
retired;married;secondary;no;yes;no;cellular;oct;unknown;old;normal;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
services;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;oct;unknown;mid;rich;long;new;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
services;married;secondary;no;yes;no;cellular;jan;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;yes;no;cellular;jul;unknown;young;normal;long;repeat;new;new;no
management;married;secondary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;tertiary;no;no;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;jul;success;mid;normal;long;repeat;old;old;yes
entrepreneur;divorced;tertiary;yes;yes;no;unknown;may;unknown;mid;normal;overtime;new;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;rich;long;repeat;new;new;no
services;married;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
retired;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;rich;normal;repeat;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;may;other;mid;normal;overtime;repeat;old;old;no
technician;single;secondary;no;no;yes;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
blue-collar;divorced;primary;no;no;no;cellular;feb;unknown;mid;normal;overtime;new;new;new;no
unemployed;married;secondary;no;yes;no;cellular;nov;failure;mid;normal;long;repeat;old;old;no
admin.;divorced;secondary;no;yes;no;cellular;jul;unknown;young;normal;overtime;new;new;new;yes
retired;married;primary;no;no;no;cellular;aug;unknown;old;normal;normal;repeat;new;new;no
admin.;single;secondary;no;yes;yes;cellular;may;unknown;young;normal;long;new;new;new;no
services;married;secondary;no;no;no;telephone;jul;failure;mid;normal;overtime;repeat;old;old;yes
management;married;tertiary;no;no;no;cellular;jun;unknown;mid;normal;long;new;new;new;yes
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;secondary;no;no;yes;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;single;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;no;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
services;single;secondary;no;yes;no;cellular;may;unknown;young;bust;overtime;new;new;new;yes
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
blue-collar;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
unknown;single;tertiary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;married;tertiary;no;yes;no;unknown;may;unknown;mid;rich;long;repeat;new;new;no
admin.;single;tertiary;no;no;no;cellular;oct;failure;mid;normal;long;new;old;old;no
blue-collar;divorced;secondary;no;no;no;cellular;feb;success;mid;rich;overtime;new;old;old;no
unemployed;single;primary;no;no;no;cellular;feb;unknown;mid;normal;overtime;new;new;new;yes
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;yes;no;cellular;may;failure;mid;normal;overtime;new;old;old;no
technician;married;secondary;no;no;no;telephone;nov;unknown;mid;rich;long;repeat;new;new;no
services;single;primary;no;yes;no;telephone;may;unknown;mid;rich;normal;repeat;new;new;no
management;single;secondary;no;no;no;unknown;aug;unknown;mid;normal;short;new;new;new;no
management;single;tertiary;no;yes;no;cellular;apr;failure;mid;normal;long;repeat;old;old;no
blue-collar;married;secondary;no;yes;yes;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
self-employed;married;tertiary;no;yes;no;cellular;feb;unknown;mid;normal;long;repeat;new;new;no
unemployed;married;primary;no;no;no;cellular;apr;unknown;mid;rich;long;new;new;new;yes
housemaid;married;primary;no;yes;no;cellular;jul;unknown;young;normal;overtime;repeat;new;new;no
student;single;secondary;no;no;no;cellular;jun;success;young;rich;long;try-harder;old;old;yes
management;married;tertiary;no;yes;no;telephone;jul;unknown;mid;normal;short;try-harder;new;new;no
self-employed;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;single;secondary;no;no;no;cellular;jan;failure;mid;normal;normal;repeat;old;old;no
student;single;secondary;no;no;no;telephone;aug;unknown;young;normal;long;repeat;new;new;yes
technician;single;secondary;no;no;yes;cellular;nov;unknown;young;normal;overtime;repeat;new;new;yes
services;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;normal;repeat;new;new;no
admin.;single;secondary;no;no;yes;cellular;aug;unknown;young;rich;normal;new;new;new;no
blue-collar;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;new;new;new;no
management;divorced;tertiary;no;no;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
admin.;divorced;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
blue-collar;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;short;new;new;new;no
blue-collar;married;secondary;no;no;yes;cellular;jul;unknown;mid;bust;overtime;repeat;new;new;no
management;single;tertiary;yes;yes;no;cellular;may;failure;mid;bust;long;repeat;old;old;no
self-employed;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;yes
unemployed;single;secondary;no;no;no;unknown;sep;unknown;young;normal;short;new;new;new;no
technician;single;secondary;no;no;yes;cellular;jul;unknown;mid;normal;short;repeat;new;new;no
blue-collar;single;secondary;no;no;no;telephone;feb;failure;mid;normal;long;new;old;old;no
retired;divorced;tertiary;no;no;no;cellular;apr;unknown;old;rich;long;new;new;new;yes
blue-collar;married;primary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;short;new;new;new;no
blue-collar;married;unknown;yes;yes;no;unknown;may;unknown;mid;bust;normal;repeat;new;new;no
admin.;married;unknown;no;yes;no;cellular;may;failure;mid;normal;normal;new;old;old;no
technician;single;secondary;no;yes;no;unknown;may;unknown;young;normal;long;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
admin.;single;secondary;no;yes;yes;cellular;may;failure;young;normal;short;new;old;old;no
management;single;tertiary;no;no;no;cellular;feb;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;yes;no;cellular;feb;unknown;mid;bust;overtime;new;new;new;yes
management;married;unknown;no;no;no;unknown;jun;unknown;old;rich;short;repeat;new;new;no
management;divorced;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
services;divorced;unknown;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
management;single;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;yes;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;no
retired;married;primary;no;no;yes;unknown;jun;unknown;mid;normal;short;try-harder;new;new;no
technician;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
admin.;married;secondary;no;yes;no;cellular;jan;other;mid;normal;long;repeat;old;old;no
technician;single;unknown;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
entrepreneur;married;unknown;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;yes;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
unemployed;divorced;primary;yes;yes;yes;unknown;jul;unknown;mid;bust;normal;new;new;new;no
entrepreneur;married;secondary;no;no;no;cellular;feb;unknown;mid;rich;long;repeat;new;new;no
technician;married;secondary;no;no;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;jun;success;mid;normal;long;repeat;old;old;yes
technician;married;secondary;no;yes;no;cellular;jan;failure;mid;normal;normal;repeat;old;old;no
self-employed;single;secondary;no;no;no;cellular;jan;unknown;young;normal;long;new;new;new;no
technician;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;overtime;new;new;new;no
blue-collar;married;tertiary;no;no;no;unknown;oct;unknown;mid;normal;short;new;new;new;no
admin.;single;secondary;no;yes;no;unknown;may;unknown;young;rich;long;repeat;new;new;no
admin.;single;secondary;no;no;yes;unknown;may;unknown;mid;bust;short;repeat;new;new;no
services;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;oct;failure;young;normal;overtime;repeat;old;old;yes
admin.;single;secondary;no;yes;no;unknown;jun;unknown;mid;rich;overtime;new;new;new;no
housemaid;married;secondary;no;no;no;telephone;mar;unknown;old;normal;normal;repeat;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;jan;unknown;mid;normal;overtime;repeat;new;new;no
technician;married;tertiary;no;no;no;unknown;may;unknown;mid;normal;long;new;new;new;no
blue-collar;single;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;overtime;new;new;new;no
technician;married;secondary;no;no;no;unknown;jun;unknown;mid;rich;normal;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;jan;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;yes;cellular;apr;other;mid;normal;long;new;old;old;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;normal;new;new;new;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;yes;yes;cellular;jul;unknown;mid;bust;long;new;new;new;no
admin.;married;secondary;no;yes;yes;cellular;jul;unknown;mid;rich;short;try-harder;new;new;no
admin.;married;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
unknown;married;unknown;no;no;no;unknown;jun;unknown;mid;normal;normal;new;new;new;no
admin.;married;tertiary;no;yes;no;cellular;nov;failure;mid;normal;normal;repeat;old;old;no
technician;single;tertiary;no;yes;yes;cellular;feb;unknown;young;normal;long;repeat;new;new;no
services;single;secondary;no;no;yes;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;cellular;may;unknown;mid;rich;short;try-harder;new;new;no
admin.;divorced;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
services;married;secondary;no;yes;no;unknown;jun;unknown;mid;bust;normal;repeat;new;new;no
self-employed;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
admin.;married;tertiary;no;yes;no;telephone;nov;success;mid;normal;overtime;repeat;old;old;no
services;single;secondary;no;yes;no;cellular;feb;other;mid;normal;normal;new;old;old;no
technician;married;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
retired;married;secondary;no;yes;no;cellular;jun;unknown;mid;bust;overtime;repeat;new;new;yes
blue-collar;married;primary;no;yes;yes;telephone;jul;unknown;mid;normal;normal;try-harder;new;new;no
self-employed;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;short;repeat;new;new;no
student;single;secondary;no;no;no;cellular;jun;unknown;young;rich;overtime;repeat;new;new;no
retired;divorced;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;may;unknown;young;rich;overtime;repeat;new;new;no
services;married;secondary;no;no;yes;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
retired;married;secondary;no;no;no;telephone;apr;success;old;rich;long;new;old;old;yes
technician;single;tertiary;no;yes;no;cellular;may;success;mid;normal;long;new;old;old;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;aug;failure;mid;rich;overtime;repeat;old;old;yes
management;divorced;tertiary;no;yes;no;cellular;nov;failure;mid;normal;overtime;repeat;old;old;no
blue-collar;single;tertiary;no;no;no;telephone;apr;unknown;young;normal;overtime;new;new;new;yes
technician;single;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;jul;unknown;mid;rich;long;new;new;new;no
technician;married;secondary;no;yes;no;cellular;jul;failure;young;normal;normal;new;old;old;no
services;single;secondary;no;yes;no;cellular;feb;failure;mid;bust;normal;new;old;old;no
retired;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;short;try-harder;new;new;no
technician;single;secondary;no;yes;no;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;jun;unknown;young;bust;normal;repeat;new;new;no
technician;married;tertiary;no;yes;no;cellular;may;other;mid;normal;short;repeat;old;old;no
self-employed;married;secondary;no;no;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;yes;no;no;cellular;aug;unknown;mid;bust;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;overtime;repeat;new;new;yes
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
blue-collar;married;primary;no;yes;yes;telephone;jul;unknown;mid;normal;overtime;try-harder;new;new;no
services;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
retired;married;tertiary;no;yes;no;cellular;jul;unknown;mid;bust;short;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;try-harder;new;new;no
blue-collar;married;primary;no;no;no;unknown;may;unknown;mid;normal;short;repeat;new;new;no
self-employed;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
management;married;primary;no;yes;no;cellular;nov;unknown;mid;normal;long;new;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;no;no;cellular;may;unknown;mid;bust;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;apr;other;mid;normal;long;new;old;old;no
blue-collar;married;primary;no;yes;no;cellular;may;unknown;mid;normal;short;new;new;new;no
technician;married;tertiary;no;yes;yes;cellular;sep;other;mid;normal;normal;new;old;old;no
unknown;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
entrepreneur;married;tertiary;no;no;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
technician;single;secondary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
blue-collar;single;secondary;no;yes;no;cellular;jul;success;mid;normal;overtime;repeat;old;old;no
student;single;secondary;no;no;no;cellular;jan;unknown;mid;rich;long;new;new;new;no
technician;divorced;secondary;yes;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;other;mid;rich;long;new;old;old;no
technician;married;unknown;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
housemaid;married;primary;no;no;no;unknown;jun;unknown;mid;rich;normal;repeat;new;new;no
unemployed;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;try-harder;new;new;no
self-employed;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
admin.;married;secondary;no;yes;yes;unknown;jun;unknown;young;bust;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jan;other;mid;normal;normal;new;old;old;no
management;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;long;repeat;new;new;no
unemployed;single;secondary;no;no;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;no;yes;cellular;may;failure;mid;normal;short;repeat;old;old;no
management;married;tertiary;no;yes;no;cellular;feb;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
blue-collar;divorced;primary;no;no;yes;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
retired;married;primary;no;yes;no;cellular;feb;failure;mid;rich;normal;repeat;old;old;no
blue-collar;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
unemployed;single;secondary;no;no;no;cellular;aug;unknown;young;normal;normal;repeat;new;new;no
technician;divorced;tertiary;no;yes;no;cellular;jul;unknown;mid;rich;overtime;repeat;new;new;no
blue-collar;single;secondary;no;no;yes;cellular;jul;unknown;young;normal;overtime;repeat;new;new;yes
housemaid;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;normal;new;new;new;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;single;tertiary;no;no;no;cellular;feb;unknown;mid;rich;normal;repeat;new;new;no
entrepreneur;married;tertiary;no;no;yes;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;aug;failure;mid;normal;overtime;new;old;old;no
self-employed;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;overtime;new;new;new;no
student;single;secondary;no;yes;no;unknown;may;unknown;young;normal;long;new;new;new;no
technician;married;tertiary;no;yes;yes;cellular;jul;unknown;mid;bust;normal;repeat;new;new;no
admin.;single;secondary;no;yes;no;telephone;jul;unknown;mid;normal;short;try-harder;new;new;no
services;divorced;secondary;no;no;no;cellular;jul;unknown;mid;normal;normal;try-harder;new;new;no
services;married;secondary;no;yes;no;cellular;jun;failure;mid;normal;long;new;old;old;no
blue-collar;single;secondary;no;yes;yes;cellular;may;unknown;young;normal;overtime;new;new;new;yes
management;married;secondary;no;no;no;unknown;jun;unknown;mid;rich;short;repeat;new;new;no
self-employed;married;secondary;no;yes;no;cellular;nov;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;single;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;new;new;new;no
housemaid;married;tertiary;no;no;no;cellular;aug;failure;mid;rich;overtime;repeat;old;old;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;no;no;cellular;nov;unknown;mid;rich;short;repeat;new;new;no
blue-collar;divorced;primary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
self-employed;married;tertiary;no;no;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
admin.;divorced;secondary;no;no;no;unknown;may;unknown;mid;normal;normal;try-harder;new;new;no
student;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
technician;single;tertiary;no;yes;no;unknown;may;unknown;young;rich;long;new;new;new;no
admin.;married;secondary;no;yes;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
self-employed;married;secondary;no;yes;no;unknown;may;unknown;young;bust;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
admin.;married;tertiary;no;no;yes;cellular;aug;success;mid;normal;long;repeat;old;old;yes
blue-collar;married;primary;no;yes;no;cellular;aug;unknown;mid;rich;overtime;repeat;new;new;yes
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
services;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;normal;try-harder;new;new;no
technician;divorced;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;long;try-harder;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;normal;repeat;new;new;no
entrepreneur;divorced;unknown;yes;yes;no;cellular;jul;unknown;mid;bust;overtime;repeat;new;new;yes
management;married;tertiary;no;no;no;cellular;jan;unknown;young;normal;overtime;new;new;new;no
blue-collar;divorced;primary;no;yes;no;unknown;may;unknown;mid;bust;overtime;new;new;new;yes
entrepreneur;married;secondary;no;yes;yes;cellular;jul;unknown;mid;normal;overtime;try-harder;new;new;yes
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;try-harder;new;new;yes
retired;divorced;primary;no;no;no;cellular;may;unknown;old;rich;overtime;new;new;new;no
retired;divorced;primary;no;no;no;cellular;jun;failure;old;normal;overtime;repeat;old;old;no
blue-collar;married;secondary;no;yes;no;telephone;jul;unknown;mid;normal;overtime;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
