age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
32;1;1;4;2;0;1;2;1;5;may;138;1;-1;0;1;2
53;11;2;2;2;989;1;2;1;5;may;812;1;-1;0;1;2
57;8;1;3;2;249;1;2;1;5;may;164;1;-1;0;1;2
33;12;1;2;2;790;1;2;1;5;may;391;1;-1;0;1;2
49;8;1;1;2;154;1;2;1;5;may;357;1;-1;0;1;2
51;4;1;4;2;6530;1;2;1;5;may;91;1;-1;0;1;2
60;10;1;4;2;100;2;2;1;5;may;528;1;-1;0;1;2
59;4;2;4;2;59;1;2;1;5;may;273;1;-1;0;1;2
55;11;1;2;2;1205;1;2;1;5;may;158;2;-1;0;1;2
35;8;3;2;2;12223;1;1;1;5;may;177;1;-1;0;1;2
57;8;1;2;2;5935;1;1;1;5;may;258;1;-1;0;1;2
31;12;1;2;2;25;1;1;1;5;may;172;1;-1;0;1;2
54;4;1;2;2;282;1;1;1;5;may;154;1;-1;0;1;2
55;8;1;3;2;23;1;2;1;5;may;291;1;-1;0;1;2
43;11;1;2;2;1937;1;2;1;5;may;181;1;-1;0;1;2
53;11;1;2;2;384;1;2;1;5;may;176;1;-1;0;1;2
44;8;1;2;2;582;2;1;1;5;may;211;1;-1;0;1;2
55;12;2;2;2;91;2;2;1;5;may;349;1;-1;0;1;2
49;12;2;2;2;0;1;1;1;5;may;272;1;-1;0;1;2
55;12;2;2;1;1;1;2;1;5;may;208;1;-1;0;1;2
45;1;3;2;2;206;1;2;1;5;may;193;1;-1;0;1;2
47;12;2;2;2;164;2;2;1;5;may;212;1;-1;0;1;2
42;11;3;2;2;690;1;2;1;5;may;20;1;-1;0;1;2
59;1;1;2;2;2343;1;2;1;5;may;1042;1;-1;0;1;1
46;9;1;4;2;137;1;1;1;5;may;246;1;-1;0;1;2
51;8;1;3;2;173;1;2;1;5;may;529;2;-1;0;1;2
56;1;1;2;2;45;2;2;1;5;may;1467;1;-1;0;1;1
41;11;1;2;2;1270;1;2;1;5;may;1389;1;-1;0;1;1
46;4;2;2;2;16;1;1;1;5;may;188;2;-1;0;1;2
57;10;1;2;2;486;1;2;1;5;may;180;2;-1;0;1;2
42;4;3;2;2;50;2;2;1;5;may;48;1;-1;0;1;2
30;11;1;2;2;152;1;1;1;5;may;213;2;-1;0;1;2
60;1;1;2;2;290;1;2;1;5;may;583;1;-1;0;1;2
60;8;1;1;2;54;1;2;1;5;may;221;1;-1;0;1;2
57;6;2;2;2;-37;2;2;1;5;may;173;1;-1;0;1;2
36;4;1;4;2;101;1;1;1;5;may;426;1;-1;0;1;2
55;8;1;2;2;383;2;2;1;5;may;287;1;-1;0;1;2
60;10;1;4;2;81;1;2;1;5;may;101;1;-1;0;1;2
39;11;1;2;2;0;1;2;1;5;may;203;1;-1;0;1;2
46;4;1;4;2;229;1;2;1;5;may;197;1;-1;0;1;2
44;8;1;2;2;-674;1;2;1;5;may;257;1;-1;0;1;2
53;8;1;3;2;90;2;2;1;5;may;124;1;-1;0;1;2
52;8;1;3;2;128;1;2;1;5;may;229;1;-1;0;1;2
59;8;1;3;2;179;1;2;1;5;may;55;3;-1;0;1;2
27;11;3;4;2;0;1;2;1;5;may;400;1;-1;0;1;2
44;8;1;2;2;54;1;2;1;5;may;197;1;-1;0;1;2
47;11;1;4;2;151;1;2;1;5;may;190;1;-1;0;1;2
34;1;1;2;2;61;2;1;1;5;may;21;1;-1;0;1;2
59;10;3;2;2;30;1;2;1;5;may;514;1;-1;0;1;2
45;4;1;4;2;523;1;2;1;5;may;849;2;-1;0;1;2
29;12;2;2;2;31;1;2;1;5;may;194;1;-1;0;1;2
46;11;2;2;2;79;2;2;1;5;may;144;1;-1;0;1;2
56;9;1;3;2;-34;1;1;1;5;may;212;2;-1;0;1;2
36;8;1;3;2;448;1;2;1;5;may;286;1;-1;0;1;2
59;10;2;3;2;81;1;2;1;5;may;107;1;-1;0;1;2
44;8;1;2;2;144;1;2;1;5;may;247;2;-1;0;1;2
41;1;1;2;2;351;1;2;1;5;may;518;1;-1;0;1;2
33;4;3;4;2;-67;1;2;1;5;may;364;1;-1;0;1;2
59;4;2;4;2;262;2;2;1;5;may;178;1;-1;0;1;2
57;11;1;3;2;0;2;2;1;5;may;98;1;-1;0;1;2
56;11;2;1;2;56;1;2;1;5;may;439;1;-1;0;1;2
51;8;1;2;2;26;1;2;1;5;may;79;1;-1;0;1;2
34;1;1;1;2;3;1;2;1;5;may;120;3;-1;0;1;2
43;12;1;2;2;41;1;1;1;5;may;127;2;-1;0;1;2
52;11;1;4;2;7;2;1;1;5;may;175;1;-1;0;1;2
33;11;3;2;2;105;1;2;1;5;may;262;2;-1;0;1;2
29;1;3;2;2;818;1;1;1;5;may;61;1;-1;0;1;2
34;12;1;2;2;-16;1;1;1;5;may;78;1;-1;0;1;2
31;8;1;2;2;0;1;2;1;5;may;143;1;-1;0;1;2
55;12;1;2;2;2476;1;2;1;5;may;579;1;-1;0;1;1
55;4;1;1;2;1185;2;2;1;5;may;677;1;-1;0;1;2
32;1;3;2;2;217;1;2;1;5;may;345;1;-1;0;1;2
38;11;3;2;2;1685;1;2;1;5;may;185;1;-1;0;1;2
55;1;3;2;2;802;1;1;1;5;may;100;2;-1;0;1;2
28;3;3;4;2;0;1;2;1;5;may;125;2;-1;0;1;2
23;8;1;2;2;94;1;2;1;5;may;193;1;-1;0;1;2
32;11;3;2;2;0;1;2;1;5;may;136;1;-1;0;1;2
43;12;3;1;2;0;2;2;1;5;may;73;1;-1;0;1;2
32;8;1;2;2;517;1;2;1;5;may;528;1;-1;0;1;2
46;8;1;2;2;265;1;2;1;5;may;541;1;-1;0;1;2
53;5;2;3;2;947;1;2;1;5;may;163;1;-1;0;1;2
34;9;3;2;2;3;1;2;1;5;may;301;1;-1;0;1;2
57;3;1;4;2;42;2;2;1;5;may;46;1;-1;0;1;2
37;8;1;2;2;37;1;2;1;5;may;204;1;-1;0;1;2
59;8;1;2;2;57;1;2;1;5;may;98;1;-1;0;1;2
33;12;1;2;2;22;1;2;1;5;may;71;1;-1;0;1;2
56;8;2;3;2;8;1;2;1;5;may;157;2;-1;0;1;2
48;3;1;2;2;293;1;2;1;5;may;243;1;-1;0;1;2
43;12;1;3;2;3;1;2;1;5;may;186;2;-1;0;1;2
54;8;1;3;2;348;1;2;1;5;may;579;2;-1;0;1;2
51;8;1;1;2;-19;1;2;1;5;may;163;2;-1;0;1;2
26;7;3;2;2;0;1;2;1;5;may;610;2;-1;0;1;2
40;4;1;4;2;-4;1;2;1;5;may;2033;1;-1;0;1;2
39;4;1;2;2;18;1;2;1;5;may;85;1;-1;0;1;2
50;11;1;3;2;139;2;2;1;5;may;114;2;-1;0;1;2
41;12;1;2;2;0;1;2;1;5;may;114;2;-1;0;1;2
51;8;1;1;2;1883;1;2;1;5;may;57;1;-1;0;1;2
60;10;2;2;2;216;1;2;1;5;may;238;1;-1;0;1;2
52;8;1;2;2;782;1;2;1;5;may;93;3;-1;0;1;2
48;8;1;2;2;904;1;2;1;5;may;128;2;-1;0;1;2
48;12;1;1;2;1705;1;2;1;5;may;107;1;-1;0;1;2
39;11;3;4;2;47;1;2;1;5;may;181;1;-1;0;1;2
47;12;3;2;2;176;1;2;1;5;may;303;2;-1;0;1;2
40;8;1;2;2;1225;1;2;1;5;may;558;5;-1;0;1;2
45;11;1;2;2;86;1;2;1;5;may;270;1;-1;0;1;2
26;1;3;2;2;82;1;2;1;5;may;228;1;-1;0;1;2
52;4;1;4;2;271;1;2;1;5;may;99;1;-1;0;1;2
54;11;1;2;2;1378;1;2;1;5;may;240;1;-1;0;1;2
54;1;1;4;2;184;2;2;1;5;may;673;2;-1;0;1;1
50;8;1;3;2;0;2;2;1;5;may;233;3;-1;0;1;2
35;8;1;2;2;0;1;2;1;5;may;1056;1;-1;0;1;2
44;12;1;2;2;1357;1;1;1;5;may;250;1;-1;0;1;2
53;6;1;1;2;19;1;2;1;5;may;252;1;-1;0;1;2
35;10;3;3;2;434;2;2;1;5;may;138;1;-1;0;1;2
60;1;2;2;2;92;1;2;1;5;may;130;1;-1;0;1;2
53;1;2;2;2;1151;1;2;1;5;may;412;1;-1;0;1;2
48;3;1;2;2;41;1;2;1;5;may;179;2;-1;0;1;2
34;11;1;2;2;51;1;2;1;5;may;19;2;-1;0;1;2
54;12;1;2;2;214;1;2;1;5;may;458;2;-1;0;1;2
51;4;1;2;2;1161;1;2;1;5;may;717;1;-1;0;1;2
31;12;1;4;2;37;1;2;1;5;may;313;1;-1;0;1;2
35;11;2;2;2;787;1;2;1;5;may;683;2;-1;0;1;2
35;12;1;2;2;59;1;2;1;5;may;1077;1;-1;0;1;2
38;11;1;2;2;253;1;2;1;5;may;416;1;-1;0;1;2
36;1;1;4;2;211;1;2;1;5;may;146;2;-1;0;1;2
58;10;1;3;2;235;1;2;1;5;may;167;1;-1;0;1;2
40;12;2;1;2;4384;1;2;1;5;may;315;1;-1;0;1;2
54;4;1;2;2;4080;2;2;1;5;may;140;1;-1;0;1;2
34;8;3;2;2;53;1;1;1;5;may;346;1;-1;0;1;2
31;4;3;4;2;0;1;2;1;5;may;562;1;-1;0;1;2
51;10;1;2;2;2127;1;2;1;5;may;172;1;-1;0;1;2
33;4;1;4;2;377;1;2;1;5;may;217;1;-1;0;1;2
55;4;1;4;2;73;1;2;1;5;may;142;2;-1;0;1;2
42;1;1;2;2;445;1;2;1;5;may;67;1;-1;0;1;2
34;8;1;2;2;243;1;2;1;5;may;291;1;-1;0;1;2
33;8;3;2;2;307;1;2;1;5;may;309;2;-1;0;1;2
38;12;1;2;2;155;1;2;1;5;may;248;1;-1;0;1;2
50;11;2;4;2;173;2;1;1;5;may;98;1;-1;0;1;2
43;4;1;4;2;400;1;2;1;5;may;256;1;-1;0;1;2
61;8;2;3;2;1428;1;2;1;5;may;82;2;-1;0;1;2
47;1;1;2;2;219;1;2;1;5;may;577;1;-1;0;1;2
48;9;1;4;2;7;1;2;1;5;may;286;1;-1;0;1;2
44;8;1;2;2;575;1;2;1;5;may;477;1;-1;0;1;2
35;7;3;1;2;298;1;2;1;5;may;611;2;-1;0;1;2
35;12;1;2;2;0;1;2;1;5;may;471;1;-1;0;1;2
50;12;1;2;2;5699;1;2;1;5;may;381;2;-1;0;1;2
41;4;1;4;2;176;1;1;1;5;may;42;1;-1;0;1;2
41;4;1;4;2;517;1;2;1;5;may;251;1;-1;0;1;2
39;12;3;1;2;257;1;2;1;5;may;408;1;-1;0;1;2
42;10;1;2;2;56;1;2;1;5;may;215;1;-1;0;1;2
38;8;1;2;2;-390;1;2;1;5;may;287;1;-1;0;1;2
53;10;1;2;2;330;1;2;1;5;may;216;2;-1;0;1;2
59;5;2;3;2;195;2;2;1;5;may;366;2;-1;0;1;2
36;12;1;2;2;301;1;2;1;5;may;210;1;-1;0;1;2
54;8;1;3;2;-41;1;2;1;5;may;288;1;-1;0;1;2
40;11;1;4;2;483;1;2;1;5;may;168;1;-1;0;1;2
47;2;1;1;2;28;2;2;1;5;may;338;2;-1;0;1;2
53;3;1;1;2;13;2;2;1;5;may;410;3;-1;0;1;2
46;5;1;3;2;965;2;2;1;5;may;177;1;-1;0;1;2
39;4;1;4;2;378;1;1;1;5;may;127;2;-1;0;1;2
40;3;1;2;2;219;1;2;1;5;may;357;1;-1;0;1;2
28;8;1;3;2;324;1;2;1;5;may;175;1;-1;0;1;2
35;6;2;2;2;-69;1;2;1;5;may;300;1;-1;0;1;2
55;10;1;2;2;0;2;1;1;5;may;136;1;-1;0;1;2
43;11;2;1;2;205;1;2;1;5;may;1419;1;-1;0;1;2
48;8;1;3;2;278;1;2;1;5;may;125;2;-1;0;1;2
58;4;1;1;2;1065;1;2;1;5;may;213;3;-1;0;1;2
33;4;3;4;2;34;1;2;1;5;may;27;1;-1;0;1;2
36;8;1;1;2;1033;2;2;1;5;may;238;2;-1;0;1;2
53;12;2;2;2;1467;1;2;1;5;may;124;1;-1;0;1;2
47;8;1;3;2;-12;1;2;1;5;may;18;1;-1;0;1;2
31;12;1;2;2;388;1;2;1;5;may;730;2;-1;0;1;2
57;6;1;2;2;294;1;2;1;5;may;746;2;-1;0;1;2
53;8;1;1;2;1827;2;2;1;5;may;121;1;-1;0;1;2
55;8;1;3;2;627;1;2;1;5;may;247;1;-1;0;1;2
45;8;1;3;2;25;1;2;1;5;may;40;1;-1;0;1;2
53;1;2;2;2;315;1;2;1;5;may;181;2;-1;0;1;2
37;8;1;3;2;0;1;2;1;5;may;79;1;-1;0;1;2
44;1;2;2;2;66;1;2;1;5;may;206;1;-1;0;1;2
49;8;2;3;2;-9;1;1;1;5;may;389;1;-1;0;1;2
46;11;1;2;2;349;1;1;1;5;may;127;1;-1;0;1;2
43;6;1;1;2;100;1;2;1;5;may;702;1;-1;0;1;2
38;1;1;2;2;0;2;2;1;5;may;151;1;-1;0;1;2
43;11;1;2;2;434;1;2;1;5;may;117;1;-1;0;1;2
49;4;1;4;2;3237;1;2;1;5;may;232;3;-1;0;1;2
42;4;1;1;2;275;2;2;1;5;may;408;2;-1;0;1;2
22;8;3;2;2;0;1;2;1;5;may;179;2;-1;0;1;2
40;4;1;4;2;207;1;2;1;5;may;39;1;-1;0;1;2
39;8;1;2;2;483;1;2;1;5;may;282;1;-1;0;1;2
51;12;1;2;2;2248;1;2;1;5;may;714;2;-1;0;1;2
49;1;1;2;2;428;1;2;1;5;may;50;1;-1;0;1;2
53;8;1;2;2;0;1;1;1;5;may;181;1;-1;0;1;2
34;12;3;2;2;0;1;2;1;5;may;142;1;-1;0;1;2
33;11;2;2;2;140;1;2;1;5;may;227;1;-1;0;1;2
50;4;3;4;2;297;1;2;1;5;may;119;1;-1;0;1;2
39;8;1;3;2;279;1;2;1;5;may;361;1;-1;0;1;2
59;6;2;2;2;901;1;2;1;5;may;73;3;-1;0;1;2
30;11;3;2;2;2573;1;2;1;5;may;67;2;-1;0;1;2
36;12;1;2;2;143;1;1;1;5;may;350;1;-1;0;1;2
40;8;1;2;2;475;1;2;1;5;may;332;2;-1;0;1;2
53;8;1;2;2;70;1;2;1;5;may;611;2;-1;0;1;2
34;4;3;4;2;318;1;2;1;5;may;113;2;-1;0;1;2
37;11;1;2;2;275;1;2;1;5;may;132;1;-1;0;1;2
42;4;2;4;2;742;1;2;1;5;may;58;3;-1;0;1;2
41;6;1;3;2;236;1;2;1;5;may;151;1;-1;0;1;2
30;7;3;4;2;25;1;2;1;5;may;89;2;-1;0;1;2
37;4;3;4;2;600;1;2;1;5;may;152;1;-1;0;1;2
39;1;2;2;2;-349;1;2;1;5;may;611;2;-1;0;1;2
41;8;1;3;2;183;1;1;1;5;may;110;2;-1;0;1;2
40;8;1;3;2;0;1;2;1;5;may;463;1;-1;0;1;2
42;4;3;4;2;0;1;1;1;5;may;562;2;-1;0;1;1
40;8;2;3;2;0;1;2;1;5;may;962;1;-1;0;1;2
57;11;1;2;2;1078;1;2;1;5;may;10;4;-1;0;1;2
56;6;2;2;2;155;2;2;1;5;may;118;3;-1;0;1;2
37;1;1;2;2;190;1;2;1;5;may;92;2;-1;0;1;2
59;10;1;2;2;319;1;2;1;5;may;143;3;-1;0;1;2
39;12;2;2;2;-185;1;2;1;5;may;189;3;-1;0;1;2
49;12;1;2;2;47;2;2;1;5;may;234;2;-1;0;1;2
38;12;3;2;2;570;1;2;1;5;may;75;2;-1;0;1;2
36;9;1;4;2;19;2;2;1;5;may;189;2;-1;0;1;2
50;8;1;3;2;61;1;2;1;5;may;621;3;-1;0;1;2
41;1;1;2;2;-62;1;1;1;5;may;55;2;-1;0;1;2
54;11;1;4;2;258;2;2;1;5;may;310;4;-1;0;1;2
58;8;1;3;2;76;1;2;1;5;may;156;2;-1;0;1;2
30;8;3;2;2;0;1;2;1;5;may;5;2;-1;0;1;2
33;1;3;2;2;352;1;2;1;5;may;225;2;-1;0;1;2
47;1;1;2;2;368;1;2;1;5;may;125;2;-1;0;1;2
50;11;3;4;2;339;1;2;1;5;may;2;3;-1;0;1;2
32;8;1;2;2;1331;1;2;1;5;may;286;2;-1;0;1;2
40;9;1;2;2;672;1;2;1;5;may;164;2;-1;0;1;2
37;4;1;4;2;58;1;2;1;5;may;98;2;-1;0;1;2
54;11;3;1;2;447;1;2;1;5;may;742;2;-1;0;1;2
24;7;3;2;2;423;1;2;1;5;may;226;3;-1;0;1;2
54;4;1;4;2;0;2;2;1;5;may;120;2;-1;0;1;2
34;11;1;2;2;19;1;2;1;5;may;362;4;-1;0;1;2
56;11;2;3;2;13;1;2;1;5;may;357;2;-1;0;1;2
31;8;3;2;2;3;1;2;1;5;may;200;2;-1;0;1;2
24;7;3;2;2;82;1;2;1;5;may;204;2;-1;0;1;2
42;8;2;3;2;28;1;2;1;5;may;126;3;-1;0;1;2
57;11;1;2;2;792;1;2;1;5;may;65;2;-1;0;1;2
42;8;1;1;2;408;1;2;1;5;may;107;2;-1;0;1;2
51;1;1;2;2;531;1;2;1;5;may;267;2;-1;0;1;2
57;10;1;2;2;211;1;2;1;5;may;248;2;-1;0;1;2
36;12;3;2;2;62;1;2;1;5;may;215;2;-1;0;1;2
53;12;1;1;2;257;1;2;1;5;may;209;2;-1;0;1;2
50;11;1;2;2;1234;1;2;1;5;may;205;2;-1;0;1;2
54;4;1;4;2;313;1;2;1;5;may;83;2;-1;0;1;2
55;8;1;2;2;89;1;2;1;5;may;106;3;-1;0;1;2
44;8;1;2;2;129;1;1;1;5;may;189;2;-1;0;1;2
43;4;1;1;2;0;1;2;1;5;may;105;2;-1;0;1;2
56;1;1;2;2;353;1;2;1;5;may;106;2;-1;0;1;2
54;11;1;1;2;851;1;2;1;5;may;108;2;-1;0;1;2
55;12;2;3;2;96;1;1;1;5;may;311;2;-1;0;1;2
37;12;2;2;2;398;1;1;1;5;may;214;2;-1;0;1;2
33;1;3;4;2;193;2;2;1;5;may;132;2;-1;0;1;2
46;1;1;2;2;-358;1;2;1;5;may;358;2;-1;0;1;2
36;8;1;2;2;539;1;1;1;5;may;453;2;-1;0;1;2
51;11;3;2;2;0;1;2;1;5;may;364;2;-1;0;1;2
40;10;3;3;2;0;2;2;1;5;may;136;2;-1;0;1;2
42;8;1;2;2;490;1;2;1;5;may;386;2;-1;0;1;2
51;8;1;2;2;0;1;2;1;5;may;173;2;-1;0;1;2
49;8;1;1;2;403;1;2;1;5;may;241;2;-1;0;1;2
48;4;1;2;2;161;1;2;1;5;may;224;3;-1;0;1;2
32;11;2;4;2;2558;2;2;1;5;may;148;2;-1;0;1;2
31;1;3;2;2;98;1;2;1;5;may;196;2;-1;0;1;2
55;4;3;4;2;115;2;2;1;5;may;111;4;-1;0;1;2
40;8;3;2;2;436;1;2;1;5;may;231;3;-1;0;1;2
47;11;1;4;2;831;1;2;1;5;may;316;3;-1;0;1;2
57;11;1;1;2;206;1;2;1;5;may;216;3;-1;0;1;2
41;8;1;2;2;290;1;2;1;5;may;240;2;-1;0;1;2
48;8;1;2;2;1;2;2;1;5;may;669;3;-1;0;1;2
42;8;1;1;2;57;1;2;1;5;may;425;2;-1;0;1;2
30;8;3;2;2;-457;1;2;1;5;may;143;2;-1;0;1;2
58;4;3;4;2;1387;1;2;1;5;may;174;5;-1;0;1;2
45;4;2;4;2;24598;1;2;1;5;may;313;3;-1;0;1;2
49;8;1;2;2;30;1;2;1;5;may;135;4;-1;0;1;2
42;1;3;2;2;1022;1;2;1;5;may;146;2;-1;0;1;2
53;11;1;2;2;56;1;1;1;5;may;152;2;-1;0;1;2
51;1;3;2;1;-2;2;2;1;5;may;402;3;-1;0;1;2
32;12;3;2;2;121;1;2;1;5;may;213;2;-1;0;1;2
41;8;3;2;2;842;1;2;1;5;may;144;3;-1;0;1;2
43;4;2;2;2;693;1;2;1;5;may;124;3;-1;0;1;2
40;8;2;2;2;-333;1;2;1;5;may;183;2;-1;0;1;2
50;8;1;3;2;1533;1;2;1;5;may;325;2;-1;0;1;2
34;4;1;4;2;46;1;2;1;5;may;39;4;-1;0;1;2
53;12;1;1;2;18;2;2;1;5;may;503;2;-1;0;1;2
45;11;1;2;2;44;1;2;1;5;may;95;4;-1;0;1;2
39;8;1;3;2;-100;1;2;1;5;may;680;2;-1;0;1;2
44;12;1;4;2;510;1;2;1;5;may;421;4;-1;0;1;2
55;4;1;4;2;685;1;2;1;5;may;174;3;-1;0;1;2
46;4;3;4;2;187;1;2;1;5;may;113;2;-1;0;1;2
45;8;1;2;2;66;1;2;1;5;may;808;2;-1;0;1;2
34;1;1;2;2;560;1;2;1;5;may;198;3;-1;0;1;2
36;8;1;2;2;0;1;2;1;5;may;195;2;-1;0;1;2
59;2;2;1;2;27;2;2;1;5;may;347;3;-1;0;1;2
31;1;3;2;2;12;1;2;1;5;may;208;2;-1;0;1;2
44;8;3;2;2;34;1;2;1;5;may;404;4;-1;0;1;2
33;6;3;4;2;1068;1;2;1;5;may;396;2;-1;0;1;2
40;8;1;2;2;211;1;2;1;5;may;216;4;-1;0;1;2
46;1;3;4;2;377;1;2;1;5;may;98;2;-1;0;1;2
48;4;1;4;2;263;1;2;1;5;may;350;2;-1;0;1;2
42;12;1;2;2;1263;1;2;1;6;may;114;2;-1;0;1;2
27;12;1;2;2;8;1;2;1;6;may;88;3;-1;0;1;2
48;1;1;2;2;126;1;1;1;6;may;379;2;-1;0;1;2
59;1;1;2;2;230;1;2;1;6;may;190;3;-1;0;1;2
46;11;1;4;2;841;1;2;1;6;may;158;1;-1;0;1;2
38;1;2;2;2;308;1;2;1;6;may;102;1;-1;0;1;2
43;4;2;4;2;1;1;2;1;6;may;306;1;-1;0;1;2
38;1;2;4;2;86;1;2;1;6;may;218;1;-1;0;1;2
23;7;3;2;2;157;1;2;1;6;may;54;1;-1;0;1;2
34;12;1;2;2;22;1;2;1;6;may;344;1;-1;0;1;2
38;1;1;2;2;46;1;1;1;6;may;195;1;-1;0;1;2
37;8;1;2;2;1293;2;2;1;6;may;652;1;-1;0;1;2
25;1;3;2;2;122;1;2;1;6;may;286;1;-1;0;1;2
48;8;1;1;2;131;1;2;1;6;may;189;1;-1;0;1;2
49;8;3;2;2;143;1;2;1;6;may;83;1;-1;0;1;2
38;1;3;2;2;393;2;2;1;6;may;184;2;-1;0;1;2
43;8;1;3;2;98;1;2;1;6;may;235;1;-1;0;1;2
33;4;1;4;2;0;1;2;1;6;may;290;1;-1;0;1;2
55;8;1;2;2;224;1;2;1;6;may;232;1;-1;0;1;2
38;8;1;2;2;757;1;2;1;6;may;133;1;-1;0;1;2
49;12;1;2;2;245;1;1;1;6;may;318;1;-1;0;1;2
40;4;1;2;2;8486;2;2;1;6;may;260;3;-1;0;1;2
43;1;1;1;2;350;2;2;1;6;may;437;1;-1;0;1;2
38;8;1;2;2;20;1;2;1;6;may;402;1;-1;0;1;2
58;12;1;2;2;1667;1;1;1;6;may;85;1;-1;0;1;2
57;11;1;1;2;345;1;2;1;6;may;125;1;-1;0;1;2
32;3;1;2;2;10;1;2;1;6;may;501;4;-1;0;1;2
56;4;1;4;2;830;1;1;1;6;may;1201;1;-1;0;1;1
58;8;2;1;2;29;1;2;1;6;may;253;1;-1;0;1;2
60;10;2;2;2;545;1;2;1;6;may;1030;1;-1;0;1;1
37;11;1;4;2;8730;1;2;1;6;may;149;1;-1;0;1;2
46;11;2;4;2;477;1;2;1;6;may;114;1;-1;0;1;2
27;1;1;2;2;4;1;2;1;6;may;243;1;-1;0;1;2
